,restaurant,url,distance,star,num_reviews,city,price_range,category_1,category_2
602,G&R Liquor Mart,https://www.doordash.com/convenience/store/23019224/?pickup=false,0.7,5.0,,Edmonton,$$,Alcohol,Beer
603,Pizza Hut,https://www.doordash.com/store/1558226/?pickup=false,1.0,4.4,159.0,Edmonton,$$,Pizza,Italian
604,lets grill sushi & izakaya,https://www.doordash.com/store/228805/?pickup=false,0.5,4.3,152.0,Edmonton,$$,Japanese,Sushi
605,Westmount Liquor Hub,https://www.doordash.com/convenience/store/22980996/?pickup=false,1.7,5.0,11.0,Edmonton,$$,Beer,Wine
606,The Sherlock Holmes Pub,https://www.doordash.com/store/149918/?pickup=false,0.3,3.8,40.0,Edmonton,$$,Pubs,Gluten-Free
607,Hing Lung,https://www.doordash.com/store/865840/?pickup=false,0.4,4.6,54.0,Edmonton,$$,Barbecue,Pork
608,Subway,https://www.doordash.com/store/166286/?pickup=false,0.06,4.5,12.0,Edmonton,$$,Build Your Own,Cookies
609,Sahaba Restaurant,https://www.doordash.com/store/1379466/?pickup=false,0.5,4.2,48.0,Edmonton,$$,Halal,Steak
610,Oodle Noodle,https://www.doordash.com/store/23279654/?pickup=false,1.3,4.8,,Edmonton,$$,Noodles,Soup
611,BaoBao,https://www.doordash.com/store/839347/?pickup=false,0.4,4.6,117.0,Edmonton,$$,Noodles,Dumplings
612,Norwood Liquor,https://www.doordash.com/store/1662645/?pickup=false,1.8,4.6,109.0,Edmonton,$$,Liquor Store,Beer
613,Man vs Fries,https://www.doordash.com/store/1525585/?pickup=false,0.4,4.5,435.0,Edmonton,$,Black-Owned,Chicken
614,Vera's Burger Shack,https://www.doordash.com/store/2207100/?pickup=false,0.4,4.6,109.0,Edmonton,$,Burgers,Fries
615,New York Fries,https://www.doordash.com/store/1153050/?pickup=false,0.2,4.1,67.0,Edmonton,$$,Fries,Hot Dogs
616,Ag Burgers,https://www.doordash.com/store/2835230/?pickup=false,0.3,5.0,,Edmonton,$$,Burgers,Sandwiches
617,Wrap N Roll Express,https://www.doordash.com/store/1311065/?pickup=false,0.7,4.8,21.0,Edmonton,$$,Wraps,Shawarma
618,The Ice Cream Shop By Ghost Kitchens,https://www.doordash.com/store/962014/?pickup=false,1.2,4.1,118.0,Edmonton,$$,Bakery,Cheesecake
619,East African Village Restaurant,https://www.doordash.com/store/1218055/?pickup=false,0.4,4.4,83.0,Edmonton,$$,Fish,Shrimp
620,Belge cafe,https://www.doordash.com/store/1249921/?pickup=false,1.3,3.4,,Edmonton,$$,Cafe,Breakfast
621,Osmow's,https://www.doordash.com/store/1738804/?pickup=false,1.3,4.0,102.0,Edmonton,$$,Mediterranean,Shawarma
622,Babaz Shawarma,https://www.doordash.com/store/477536/?pickup=false,1.2,3.1,65.0,Edmonton,$$,Indian,Cheesecake
623,DIVINE THE INDIAN CUISINE,https://www.doordash.com/store/1862737/?pickup=false,0.8,4.6,45.0,Edmonton,$$,Indian,Curry
624,PABLO CHEESE TART,https://www.doordash.com/store/22967612/?pickup=false,2.0,4.8,33.0,Edmonton,$$,Smoothies,Desserts
625,Maria Northern Mexican Cuisine,https://www.doordash.com/store/1488824/?pickup=false,0.15,4.5,59.0,Edmonton,$$,Mexican,Tacos
626,Teapsy Lab,https://www.doordash.com/store/2705347/?pickup=false,1.9,4.6,35.0,Edmonton,$$,Asian Fusion,Teppanyaki
627,Mr Pretzels,https://www.doordash.com/store/1581212/?pickup=false,1.2,4.5,40.0,Edmonton,$$,Fast Food,Pretzels
628,Chicken King Chinese Restaurant,https://www.doordash.com/store/1449848/?pickup=false,0.7,4.5,157.0,Edmonton,$$,Chinese,Chicken
629,Zuppa Cafe & Pizza,https://www.doordash.com/store/511687/?pickup=false,0.8,4.0,,Edmonton,$$,Italian,Pizza
630,SPICE KITCHEN BAR,https://www.doordash.com/store/23334472/?pickup=false,0.8,4.5,,Edmonton,$$,Indian,Biryani
631,Bully Sandwiches By Ghost Kitchens,https://www.doordash.com/store/477564/?pickup=false,1.2,3.9,37.0,Edmonton,$$,Cheesecake,Poutineries
632,CornerHUB,https://www.doordash.com/store/1497877/?pickup=false,1.9,4.9,42.0,Edmonton,$$,Cafe,Coffee & Tea
633,Another Wing By DJ Khaled,https://www.doordash.com/store/2430600/?pickup=false,0.3,4.0,39.0,Edmonton,$,American,Chicken
634,KFC,https://www.doordash.com/store/1054807/?pickup=false,0.17,4.6,163.0,Edmonton,$$,American,Sandwiches
635,Sticky Wings,https://www.doordash.com/store/1438125/?pickup=false,0.3,3.9,17.0,Edmonton,$,American,Fast Food
636,Liquor Time,https://www.doordash.com/store/1662616/?pickup=false,2.3,4.8,79.0,Edmonton,$$,Alcohol,Liquor Store
637,Vegango Restaurant,https://www.doordash.com/store/22990918/?pickup=false,1.1,4.1,,Edmonton,$$,Vegan,Burgers
638,Buns & Bao,https://www.doordash.com/store/2431224/?pickup=false,0.3,4.7,59.0,Edmonton,$,Cheesecake,Steamed Buns
639,Freshslice Pizza,https://www.doordash.com/store/23018903/?pickup=false,0.6,3.7,,Edmonton,$$,Dessert,Italian
640,Meltwich Food Co.,https://www.doordash.com/store/2672206/?pickup=false,0.8,4.5,91.0,Edmonton,$$,Comfort Food,Grilled Cheese
641,Funnel Cake,https://www.doordash.com/store/22969935/?pickup=false,1.2,3.6,,Edmonton,$$,Dessert,
642,Lan Noodle,https://www.doordash.com/store/1931152/?pickup=false,1.9,4.8,20.0,Edmonton,$$,Noodles,Salads
643,American Eclectic Burger,https://www.doordash.com/store/1691788/?pickup=false,0.3,4.2,58.0,Edmonton,$,American,Burgers
644,Rebel Wings,https://www.doordash.com/store/1438128/?pickup=false,0.3,4.0,39.0,Edmonton,$,American,Wings
645,Quiznos,https://www.doordash.com/store/674109/?pickup=false,1.7,4.3,99.0,Edmonton,$$,Salads,Soup
646,Bawk Bawk,https://www.doordash.com/store/1141297/?pickup=false,0.3,4.5,75.0,Edmonton,$$,Chicken Wings,Chicken Tenders
647,Chachi's Sandwiches,https://www.doordash.com/store/2294740/?pickup=false,0.5,4.2,17.0,Edmonton,$$,Sandwiches,Sausage
648,99 SUNFLOWER CAFE EATERY,https://www.doordash.com/store/23352326/?pickup=false,0.4,,,Edmonton,$$,Cafe,Italian
649,MrBeast Burger Canada,https://www.doordash.com/store/23135125/?pickup=false,0.8,4.2,,Edmonton,$$,Burgers,Cheeseburger
650,Taco Del Mar By Ghost Kitchens,https://www.doordash.com/store/1067943/?pickup=false,1.2,3.3,38.0,Edmonton,$$,Bakery,Cheesecake
651,Purdys Chocolatier,https://www.doordash.com/store/1222909/?pickup=false,0.17,5.0,,Edmonton,$$,Chocolates,Gift
652,BarBurrito,https://www.doordash.com/store/1070717/?pickup=false,1.9,4.3,60.0,Edmonton,$$,Mexican,Burritos
653,Slush Puppies By Ghost Kitchens,https://www.doordash.com/store/1534634/?pickup=false,1.2,4.4,19.0,Edmonton,$$,Poutineries,Indian
654,RedBull By Ghost Kitchens,https://www.doordash.com/store/973907/?pickup=false,1.2,4.4,15.0,Edmonton,$$,Italian,Sandwiches
655,Lola's Latin Cuisine & Churros,https://www.doordash.com/store/1368336/?pickup=false,1.2,3.4,13.0,Edmonton,$$,Cheesecake,Poutineries
656,Good Earth Coffeehouse,https://www.doordash.com/store/23078750/?pickup=false,1.6,,,Edmonton,$$,Coffee & Tea,Bakery
657,Yeg Pizza on Wheels,https://www.doordash.com/store/1750514/?pickup=false,0.15,3.2,,Edmonton,$$,Italian,Pizza
658,Sammies By SoDo,https://www.doordash.com/store/23348820/?pickup=false,0.7,,,Edmonton,$$,sandwiches,
659,Shijing Taste Mixer,https://www.doordash.com/store/1346349/?pickup=false,0.4,,,Edmonton,$$,Chinese,Fries
660,Express Corner Store,https://www.doordash.com/store/23428226/?pickup=false,0.7,,,Edmonton,$$,Curry,Biryani
661,Black Ship Restro & Pub Inc.,https://www.doordash.com/store/1354805/?pickup=false,0.3,3.8,,Edmonton,$$,Burgers,Canadian (New)
662,Salvadorenos,https://www.doordash.com/store/23329485/?pickup=false,1.3,,,Edmonton,$$,Salvadorian,Tacos
663,T.Kettle,https://www.doordash.com/store/2492414/?pickup=false,1.3,5.0,,Edmonton,$$,Matcha,Green Tea
664,The Lingnan,https://www.doordash.com/store/149807/?pickup=false,0.3,4.6,1100.0,Edmonton,$$,Chinese,Shrimp
665,Pazzo Pazzo,https://www.doordash.com/store/149816/?pickup=false,0.2,4.7,560.0,Edmonton,$$,Italian,Salads
666,Snowy Village,https://www.doordash.com/store/304115/?pickup=false,0.7,4.7,440.0,Edmonton,$$,Korean,Dessert
667,Ono Poke Co,https://www.doordash.com/store/150080/?pickup=false,0.3,4.5,208.0,Edmonton,$$,Poke,Seafood
668,OEB Breakfast,https://www.doordash.com/store/567468/?pickup=false,0.2,4.6,660.0,Edmonton,$$,Breakfast,Sandwiches
669,Pur & Simple,https://www.doordash.com/store/1593929/?pickup=false,1.2,4.6,274.0,Edmonton,$$,French Toast,Breakfast
670,A Bite of Brazil by Pampa,https://www.doordash.com/store/957551/?pickup=false,0.3,4.8,227.0,Edmonton,$$,Grilled Cheese,Brazilian
671,Tea Bar Cafe,https://www.doordash.com/store/286294/?pickup=false,0.5,4.4,230.0,Edmonton,$$,Cafe,Japanese
672,Rigoletto's Cafe,https://www.doordash.com/store/150243/?pickup=false,0.5,4.8,297.0,Edmonton,$$,Italian,Coffee & Tea
673,Kellys Pub,https://www.doordash.com/store/921330/?pickup=false,0.2,4.4,81.0,Edmonton,$$,Alcohol,Burgers
674,Liquor Store On 111,https://www.doordash.com/convenience/store/1615647/?pickup=false,1.0,4.5,111.0,Edmonton,$$,Alcohol,Beer
675,Sai Woo Garden Restaurant,https://www.doordash.com/store/149836/?pickup=false,0.5,4.4,259.0,Edmonton,$$,Chinese,Seafood
676,Viphalay,https://www.doordash.com/store/1442407/?pickup=false,0.6,4.7,148.0,Edmonton,$$,Thai,Soup
677,Taj Western Cuisine,https://www.doordash.com/store/540474/?pickup=false,0.7,3.8,64.0,Edmonton,$$,Indian,African
678,L'espresso Cafe,https://www.doordash.com/store/172782/?pickup=false,0.3,4.5,27.0,Edmonton,$$,Cafe,Coffee
679,The Pint,https://www.doordash.com/store/172758/?pickup=false,0.5,4.3,194.0,Edmonton,$$,Chicken Wings,Canadian
680,Delicious Pho,https://www.doordash.com/store/865712/?pickup=false,1.6,4.3,421.0,Edmonton,$$,Vietnamese,Vermicelli
681,Ruth's Chris Steak House,https://www.doordash.com/store/1615904/?pickup=false,0.4,4.7,133.0,Edmonton,$$,Steakhouses,Seafood
682,Fumaca Brazilian Steakhouse,https://www.doordash.com/store/930547/?pickup=false,1.5,4.4,42.0,Edmonton,$$,Brazilian,Steakhouses
683,Dynasty Century Palace,https://www.doordash.com/store/150701/?pickup=false,0.4,4.6,91.0,Edmonton,$$,Chinese,Dim Sum
684,Shojo Izakaya,https://www.doordash.com/store/840080/?pickup=false,1.4,4.6,85.0,Edmonton,$$,Japanese,Sushi
685,P & L Chinese,https://www.doordash.com/store/150210/?pickup=false,0.5,4.1,79.0,Edmonton,$$,Chinese,Seafood
686,The Wokkery Restaurant,https://www.doordash.com/store/143323/?pickup=false,0.9,3.7,29.0,Edmonton,$$,Chinese,Seafood
687,Asian Express Hotpot,https://www.doordash.com/store/1800646/?pickup=false,0.3,4.2,25.0,Edmonton,$$,Beef,Chicken
688,Cora,https://www.doordash.com/store/1310849/?pickup=false,0.5,4.5,221.0,Edmonton,$$,Eggs,Crepes
689,Say Uncle,https://www.doordash.com/store/1036483/?pickup=false,0.2,4.1,,Edmonton,$$,Sandwiches,Barbecue
690,Rub’d Smokehouse BBQ,https://www.doordash.com/store/1295530/?pickup=false,0.08,4.5,159.0,Edmonton,$$,American,Dessert
691,Wilfreds Restaurant,https://www.doordash.com/store/2820249/?pickup=false,1.4,4.4,15.0,Edmonton,$,Alcohol,Brunch
692,Afghan Chopan Kebab,https://www.doordash.com/store/149787/?pickup=false,0.5,4.2,137.0,Edmonton,$$,Afghan,Kebabs
693,The Creperie,https://www.doordash.com/store/150167/?pickup=false,0.15,4.1,80.0,Edmonton,$$$,Creperies,Alcohol
694,Eat-Thai.ca,https://www.doordash.com/store/2335650/?pickup=false,0.8,4.7,89.0,Edmonton,$$,Thai,Salads
695,ATLAS CAFE,https://www.doordash.com/store/23000858/?pickup=false,0.6,,,Edmonton,$$,Pizza,Salads
696,Tutti Frutti,https://www.doordash.com/store/2550879/?pickup=false,0.8,4.6,87.0,Edmonton,$$,Breakfast,Creperies
697,Watts Cookin,https://www.doordash.com/store/1453725/?pickup=false,2.1,4.2,24.0,Edmonton,$$,Breakfast,Fries
698,Landmark Cinemas,https://www.doordash.com/store/1356895/?pickup=false,0.2,4.0,54.0,Edmonton,$$,Snacks,Hot Dogs
699,Sushi Shop,https://www.doordash.com/store/286269/?pickup=false,1.6,4.5,62.0,Edmonton,$$,Bubble Tea,Bowls
700,Craft Beer Market,https://www.doordash.com/store/150092/?pickup=false,0.3,4.4,590.0,Edmonton,$$,Beer,Brunch
701,Casablanca donair,https://www.doordash.com/store/519496/?pickup=false,0.4,4.0,13.0,Edmonton,$$,American,Burgers
702,Queen Pizza,https://www.doordash.com/store/2481280/?pickup=false,0.5,2.3,,Edmonton,$$,Pizza,Poutineries
703,Crisp French Fry Shop,https://www.doordash.com/store/1350728/?pickup=false,0.3,,,Edmonton,$,Canadian,Fries
704,Euphoria lounge,https://www.doordash.com/store/1066875/?pickup=false,0.5,2.3,,Edmonton,$$,Pizza,Chicken Wings
705,Demi's Poutines By Ghost Kitchens,https://www.doordash.com/store/477577/?pickup=false,1.2,3.9,196.0,Edmonton,$$,Indian,Italian
706,Downtown bistro,https://www.doordash.com/store/2322744/?pickup=false,0.5,4.7,11.0,Edmonton,$$,Sandwiches,Burgers
707,Top Donair,https://www.doordash.com/store/799897/?pickup=false,0.3,3.5,24.0,Edmonton,$$,Burgers,Chicken Wings
708,Matsunomi Japanese Cuisine,https://www.doordash.com/store/977360/?pickup=false,0.2,5.0,,Edmonton,$$,Japanese,Sushi
709,Select,https://www.doordash.com/store/722067/?pickup=false,0.5,4.1,,Edmonton,$$$,Salads,burger
710,Emperor's Palace Chinese Cuisine,https://www.doordash.com/store/567459/?pickup=false,0.4,4.5,16.0,Edmonton,$$,Chinese,Seafood
711,Stuff'd Sandwiches and Burgers,https://www.doordash.com/store/1278476/?pickup=false,0.08,4.5,48.0,Edmonton,$$,Fast Food,Sandwiches
712,Bistro 99 Inc.,https://www.doordash.com/store/2380767/?pickup=false,0.6,5.0,,Edmonton,$$,Alcohol,Milk Shakes
713,Tea Fusion,https://www.doordash.com/store/519488/?pickup=false,0.2,4.3,,Edmonton,$$,Bubble Tea,Milk Tea
714,Primera,https://www.doordash.com/store/1244929/?pickup=false,0.7,5.0,,Edmonton,$$,Bakery,Cookies
715,Polish Club Syrena,https://www.doordash.com/store/172618/?pickup=false,0.8,4.1,,Edmonton,$$,Polish,Salads
716,Iland Vybes Cafe,https://www.doordash.com/store/1411795/?pickup=false,0.5,,,Edmonton,$$,Jamaican,Cafe
717,The Confederation Lounge,https://www.doordash.com/store/1491769/?pickup=false,0.5,5.0,,Edmonton,$$,Special Occasions,Custom Cocktails
718,Shanghai Express,https://www.doordash.com/store/23387598/?pickup=false,0.4,,,Edmonton,$$,Chinese,Noodles
719,Basil pasta bar,https://www.doordash.com/store/23370268/?pickup=false,0.4,,,Edmonton,$$,Italian,Dessert
720,Cafe Lavi,https://www.doordash.com/store/149808/?pickup=false,0.5,,,Edmonton,$,Cafes,Takeout
721,Express Chef Indian Fusion,https://www.doordash.com/store/1518256/?pickup=false,0.7,2.6,,Edmonton,$$,Indian,Burgers
722,Rice & Curry House,https://www.doordash.com/store/540552/?pickup=false,0.7,4.0,48.0,Edmonton,$$,Indian,Curry
723,Yunshang rice noodle,https://www.doordash.com/store/23253649/?pickup=false,0.5,,,Edmonton,$$,Soup,Fried Rice
724,YC Pastry,https://www.doordash.com/store/2555689/?pickup=false,0.6,,,Edmonton,$$,Pastries,Dessert
725,Carlton Groceries & Deli,https://www.doordash.com/store/1347742/?pickup=false,0.7,,,Edmonton,$$,Deli,Beverages
726,cafe Lavi,https://www.doordash.com/store/1202535/?pickup=false,0.5,4.3,,Edmonton,$$,Coffee & Tea,Cafe
727,Liuyishou Hot Pot 刘一手火锅,https://www.doordash.com/store/567447/?pickup=false,0.4,3.8,34.0,Edmonton,$$,Hot Pot,Chinese
728,Mr. Donair and Sub in Canada Place,https://www.doordash.com/store/1056342/?pickup=false,0.4,5.0,,Edmonton,$$,Greek,Halal
729,YEG Halal Wings,https://www.doordash.com/store/1037836/?pickup=false,0.5,4.0,,Edmonton,$$,Halal,Dessert
730,Basil Box,https://www.doordash.com/store/879455/?pickup=false,0.2,4.0,30.0,Edmonton,$$,Gluten-Free,Snacks
731,Jojo's Wings,https://www.doordash.com/store/477572/?pickup=false,1.2,3.9,45.0,Edmonton,$$,Cheesecake,Wraps
732,Chez Pierre Cabaret,https://www.doordash.com/store/1337721/?pickup=false,0.4,4.9,10.0,Edmonton,$$,Tacos,Nachos
733,Hab97 Fried Chicken & Mexican Cantina,https://www.doordash.com/store/23066453/?pickup=false,0.5,,,Edmonton,$$,Snacks,Mexican
734,Paramount Fine Foods,https://www.doordash.com/store/531440/?pickup=false,0.2,4.0,72.0,Edmonton,$$,Wraps,Dessert
735,"Ronaldo,s pizza and donair",https://www.doordash.com/store/1459011/?pickup=false,2.2,3.7,21.0,Edmonton,$$,Pizza,Wraps
736,Snack Foods,https://www.doordash.com/store/1152161/?pickup=false,1.1,,,Edmonton,$$,Snacks,Chocolates
737,State & Main Kitchen & Bar,https://www.doordash.com/store/149745/?pickup=false,0.4,3.7,,Edmonton,$$,Burgers,Steak
738,PINE & DINE RESTURANT AND BAR,https://www.doordash.com/store/2439855/?pickup=false,1.1,4.0,,Edmonton,$,Fish & Chips,Tacos
739,Rayyan Restaurant,https://www.doordash.com/store/1379537/?pickup=false,0.3,4.4,90.0,Edmonton,$$,Seafood,Dessert
740,Allegro Italian kitchen,https://www.doordash.com/store/969641/?pickup=false,1.2,,,Edmonton,$$,Italian,
741,Fuel Up,https://www.doordash.com/store/742348/?pickup=false,1.2,,,Edmonton,$$,Dessert,Chicken
742,Red Bull,https://www.doordash.com/store/977579/?pickup=false,1.2,,,Edmonton,$$,redbull,
743,T's Liquor,https://www.doordash.com/convenience/store/1817626/?pickup=false,2.3,4.3,41.0,Edmonton,$$,Alcohol,Beer
744,Shimiaodao Yunnan Rice Noodle,https://www.doordash.com/store/1648359/?pickup=false,1.7,5.0,,Edmonton,$$,Noodles,Hot Pot
745,Ho Ho Chinese Foods,https://www.doordash.com/store/1608413/?pickup=false,1.6,3.0,,Edmonton,$$,Seafood,Stew
746,Subiaco Pizza Cafe (Subiaco),https://www.doordash.com/store/1327505/?pickup=false,0.3,3.0,,Edmonton,$$,Indian,Curry
747,Pepe's Perogies By Ghost Kitchens,https://www.doordash.com/store/477612/?pickup=false,1.2,3.6,52.0,Edmonton,$$,Cheesecake,Bubble Tea
748,Amaya Indian Cuisine By Ghost Kitchens,https://www.doordash.com/store/1388045/?pickup=false,1.2,3.5,,Edmonton,$$,Indian,Bakery
749,Canadian Jerk By Ghost Kitchens,https://www.doordash.com/store/1078859/?pickup=false,1.2,4.1,13.0,Edmonton,$$,Canadian,Cheesecake
750,McDonald's,https://www.doordash.com/store/1139979/?pickup=false,20.0,4.3,2200.0,Montreal,$$,Pastries,Dessert
751,Poulet Bronze,https://www.doordash.com/store/630043/?pickup=false,15.0,4.5,2900.0,Montreal,$$,Fried Chicken,Shrimp
752,Joe's Panini 24hrs (1404 Rue Drummond),https://www.doordash.com/store/779582/?pickup=false,19.0,4.2,3300.0,Montreal,$,Sandwiches,Dessert
753,I Am Pho,https://www.doordash.com/store/630259/?pickup=false,24.0,4.7,5100.0,Montreal,$$,Vietnamese,Pho
754,Wok Cafe,https://www.doordash.com/store/629803/?pickup=false,24.0,4.5,4600.0,Montreal,$$,Chinese,Noodles
755,Mexigrill Express,https://www.doordash.com/store/732468/?pickup=false,24.0,4.2,4200.0,Montreal,$$,Mexican,Burritos
756,Mandy's,https://www.doordash.com/store/714526/?pickup=false,18.0,4.6,2300.0,Montreal,$$,Salads,Dessert
757,Poke Monster,https://www.doordash.com/store/1745199/?pickup=false,27.0,4.5,1200.0,Montreal,$$,Tartar,Burgers
758,Green Spot,https://www.doordash.com/store/630091/?pickup=false,29.0,4.6,2900.0,Montreal,$$,French,Sandwiches
759,Sumac,https://www.doordash.com/store/630182/?pickup=false,25.0,4.7,3200.0,Montreal,$$,Middle Eastern,Beer
760,Five Guys Burgers & Fries,https://www.doordash.com/store/946272/?pickup=false,24.0,4.5,1800.0,Montreal,$$,Hot Dogs,Dinner
761,Notre-Boeuf-de-Grâce,https://www.doordash.com/store/641239/?pickup=false,15.0,4.5,1200.0,Montreal,$$,French,Burgers
762,Subway,https://www.doordash.com/store/799041/?pickup=false,16.0,4.2,1500.0,Montreal,$$,Build Your Own,Cookies
763,Pizza Hut,https://www.doordash.com/store/944052/?pickup=false,20.0,4.3,323.0,Montreal,$,Italian,Pizza
764,Thali Cuisine Indienne,https://www.doordash.com/store/630012/?pickup=false,17.0,4.3,2100.0,Montreal,$$,Indian,Tandoori
765,Restaurant PM,https://www.doordash.com/store/691059/?pickup=false,18.0,4.4,4700.0,Montreal,$$,Chinese,Seafood
766,Desserts Etc,https://www.doordash.com/store/624908/?pickup=false,22.0,4.5,1800.0,Montreal,$$,Breakfast,Sandwiches
767,El Pastaman,https://www.doordash.com/store/840853/?pickup=false,25.0,4.7,1800.0,Montreal,$$,Italian,Dessert
768,Pitarifique,https://www.doordash.com/store/802807/?pickup=false,29.0,4.7,1500.0,Montreal,$$,Greek,Poutineries
769,Boustan,https://www.doordash.com/store/1438010/?pickup=false,20.0,4.6,3400.0,Montreal,$,Lebanese,Falafel
770,Campo Poulet Portugais,https://www.doordash.com/store/970069/?pickup=false,16.0,4.4,1000.0,Montreal,$$,Portuguese,Chicken
771,Uncle Tetsu's Japanese Cheesecake,https://www.doordash.com/store/630149/?pickup=false,15.0,4.8,1900.0,Montreal,$$,Japanese,Cheesecake
772,Pho Nguyen,https://www.doordash.com/store/1059664/?pickup=false,18.0,4.7,1300.0,Montreal,$$,Vietnamese,Pho
773,Kojax Restaurants,https://www.doordash.com/store/689462/?pickup=false,14.0,4.4,1000.0,Montreal,$$,Sandwiches,Vegetarian
774,Banh Mi 79,https://www.doordash.com/store/698654/?pickup=false,22.0,4.7,1900.0,Montreal,$$,Banh Mi,Vietnamese
775,Chateau Kebab,https://www.doordash.com/store/629752/?pickup=false,26.0,4.3,1300.0,Montreal,$$,Persian,Salads
776,Picks,https://www.doordash.com/store/629689/?pickup=false,21.0,4.7,590.0,Montreal,$$,Fast Food,Burgers
777,Omnivore,https://www.doordash.com/store/1134352/?pickup=false,20.0,4.7,620.0,Montreal,$$,Lebanese,Sandwiches
778,Zoe & Presotea,https://www.doordash.com/store/664590/?pickup=false,17.0,4.7,1100.0,Montreal,$$,Dessert,Fruit Tea
779,The Alley,https://www.doordash.com/store/758900/?pickup=false,23.0,4.8,880.0,Montreal,$$,Milk Tea,Fruit Tea
780,Poke Bento,https://www.doordash.com/store/2432274/?pickup=false,20.0,4.7,700.0,Montreal,$$,Japanese,Poke
781,Tejano BBQ Burrito (St-Henri),https://www.doordash.com/store/629932/?pickup=false,28.0,4.7,1200.0,Montreal,$$,Burritos,Salads
782,Parma Cafe,https://www.doordash.com/store/714601/?pickup=false,21.0,4.8,312.0,Montreal,$$,Cafe,Breakfast
783,Snaxies,https://www.doordash.com/store/1055573/?pickup=false,24.0,4.8,860.0,Montreal,$$,Comfort Food,Ice Cream & Frozen Yogurt
784,Krispy Kreme,https://www.doordash.com/store/1063852/?pickup=false,19.0,4.7,1200.0,Montreal,$$,Donuts,
785,Burger King,https://www.doordash.com/store/849114/?pickup=false,21.0,3.9,2500.0,Montreal,$,American,Burgers
786,Che Churros & Empanadas,https://www.doordash.com/store/748072/?pickup=false,30.0,4.6,204.0,Montreal,$$,Latin American,Empanadas
787,Bombay Mahal,https://www.doordash.com/store/713878/?pickup=false,30.0,4.4,1500.0,Montreal,$$,Indian,Vegetarian
788,PresoTea,https://www.doordash.com/store/749169/?pickup=false,16.0,4.7,1500.0,Montreal,$$,Japanese,Latte
789,Sammi & Soupe Dumpling,https://www.doordash.com/store/714751/?pickup=false,25.0,4.7,1500.0,Montreal,$$,Chinese,Asian
790,Schwartz's Deli,https://www.doordash.com/store/969162/?pickup=false,28.0,4.5,2100.0,Montreal,$,Deli,
791,Aunt Dai,https://www.doordash.com/store/629954/?pickup=false,22.0,4.6,1200.0,Montreal,$$,Chinese,Noodles
792,Curry Mahal,https://www.doordash.com/store/985404/?pickup=false,26.0,4.4,580.0,Montreal,$$,Indian,Vegetarian
793,Wienstein and Gavino's,https://www.doordash.com/store/778867/?pickup=false,27.0,4.5,940.0,Montreal,$$,Italian,Beer
794,Grillado's Poulet Grille Peri Peri,https://www.doordash.com/store/630141/?pickup=false,20.0,4.4,520.0,Montreal,$$,Chicken,Sandwiches
795,Restaurant Ethan,https://www.doordash.com/store/971428/?pickup=false,26.0,4.7,291.0,Montreal,$$,Chinese,Barbecue
796,Dairy Queen,https://www.doordash.com/store/843851/?pickup=false,15.0,4.5,820.0,Montreal,$,Ice Cream,Milk Shakes
797,Spicebros,https://www.doordash.com/store/674889/?pickup=false,25.0,4.5,1100.0,Montreal,$$,Asian Fusion,Indian
798,Liquid Nutrition,https://www.doordash.com/store/641336/?pickup=false,15.0,4.7,249.0,Montreal,$$,Healthy,Juice Bar
799,Bacaro Urban Pizzeria,https://www.doordash.com/store/630013/?pickup=false,23.0,4.5,274.0,Montreal,$$,Cafe,Desserts
800,Raku,https://www.doordash.com/store/654427/?pickup=false,29.0,4.6,361.0,Montreal,$$,Japanese,Chicken
801,Student Tasty Biryani,https://www.doordash.com/store/1731480/?pickup=false,19.0,4.2,349.0,Montreal,$$,Indian,Pakistani
802,La Foumagerie,https://www.doordash.com/store/979428/?pickup=false,29.0,4.4,254.0,Montreal,$$,Sandwiches,Salads
803,Cocktail Hawaii,https://www.doordash.com/store/627189/?pickup=false,18.0,4.5,550.0,Montreal,$$,Hawaiian,Creperies
804,K2+,https://www.doordash.com/store/693874/?pickup=false,29.0,4.5,1000.0,Montreal,$$,Japanese,Sushi
805,Ofish MTL,https://www.doordash.com/store/23048878/?pickup=false,14.0,4.8,76.0,Montreal,$$,Seafood,Sandwiches
806,Tsukuyomi,https://www.doordash.com/store/1011597/?pickup=false,21.0,4.4,109.0,Montreal,$$,Japanese,Ramen
807,Cuisine Szechuan,https://www.doordash.com/store/651594/?pickup=false,21.0,4.2,434.0,Montreal,$$,Chinese,Noodles
808,Romados Rôtisserie et Pâtisserie,https://www.doordash.com/store/2369982/?pickup=false,30.0,4.5,444.0,Montreal,$$,Poutineries,Chicken
809,Freshii,https://www.doordash.com/store/968268/?pickup=false,15.0,4.5,750.0,Montreal,$$,Tacos,Burritos
810,Don Tacos,https://www.doordash.com/store/624913/?pickup=false,24.0,4.2,880.0,Montreal,$$,Mexican,Burritos
811,Le Petit Sao (Vieux Montréal),https://www.doordash.com/store/1005820/?pickup=false,26.0,4.7,409.0,Montreal,$$,Vietnamese,Pho
812,Nilufar (Rue Sainte-Catherine O),https://www.doordash.com/store/1060798/?pickup=false,18.0,4.6,122.0,Montreal,$$,Middle Eastern,Falafel
813,Lafleur Restaurant (Montreal),https://www.doordash.com/store/678583/?pickup=false,23.0,4.1,423.0,Montreal,$$,Burgers,Poutineries
